Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.122.71        117   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.81        136   0c98.a4db.bd00  ARPA   Vlan1
Internet  192.168.122.83          -   0c98.a415.8001  ARPA   Vlan1
Internet  192.168.122.84        139   0c98.a47d.8001  ARPA   Vlan1
Internet  192.168.122.85        130   0c98.a42d.8001  ARPA   Vlan1
Internet  192.168.122.86        123   0c98.a4d7.8001  ARPA   Vlan1
Internet  192.168.122.87        124   0c98.a404.8001  ARPA   Vlan1
Internet  192.168.122.92        117   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93         93   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94        126   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95        102   0c98.a441.8001  ARPA   Vlan1
Internet  192.168.122.96        121   0c98.a479.8001  ARPA   Vlan1
