Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.122.71          0   0200.4c4f.4f50  ARPA   Vlan1
Internet  192.168.122.83         56   0c98.a415.8001  ARPA   Vlan1
Internet  192.168.122.84         56   0c98.a47d.8001  ARPA   Vlan1
Internet  192.168.122.85         56   0c98.a42d.8001  ARPA   Vlan1
Internet  192.168.122.87         39   0c98.a404.8001  ARPA   Vlan1
Internet  192.168.122.91        164   0c98.a4f0.8500  ARPA   Vlan1
Internet  192.168.122.92        164   0c98.a4c6.8001  ARPA   Vlan1
Internet  192.168.122.93        164   0c98.a445.8001  ARPA   Vlan1
Internet  192.168.122.94        164   0c98.a4d5.8001  ARPA   Vlan1
Internet  192.168.122.95        164   0c98.a441.8001  ARPA   Vlan1
Internet  192.168.122.96          -   0c98.a479.8001  ARPA   Vlan1
